rel_path,page_type,location_slug,city_name,service_name,tier,title,title_length,description,desc_length,canonical,h1,has_schema,stale_flags,has_form,has_phone,size_bytes
404.html,404,mobile-al,Mobile,House Cleaning,A,"House Cleaning Services in Mobile, AL - Top Rated Cleaners",58,"Find affordable house cleaning options in Mobile, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",158,https://www.zoiriscleaningservices.com/,Alabama Service Areas,True,4,True,True,263693
dashboard.html,dashboard,mobile-al,Mobile,House Cleaning,A,Zoiris Cleaning – My Dashboard,30,,0,,Zoiris Cleaning,False,0,True,True,23663
index.html,homepage,mobile-al,Mobile,House Cleaning & Maid Services,A,"House Cleaning &amp; Maid Services in Mobile, AL | Top-Rated Cleaners - Zoiris",78,"Looking for trusted house cleaning and maid services in Mobile, AL? Zoiris Cleaning Services offers affordable no-contract recurring cleaning, deep cleaning, move-in/out, and commercial janitorial. Licensed, bonded &amp; insured. Call 251-220-2515 for a free estimate!",268,https://www.zoiriscleaningservices.com/,"House Cleaning &amp; Maid Services in Mobile, AL",True,0,True,True,212180
privacy.html,privacy,mobile-al,Mobile,House Cleaning,A,"House Cleaning Services in Mobile, AL - Top Rated Cleaners",58,"Find affordable house cleaning options in Mobile, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",158,https://www.zoiriscleaningservices.com/,Privacy Policy,True,4,True,True,100265
terms.html,terms,mobile-al,Mobile,House Cleaning,A,"House Cleaning Services in Mobile, AL - Top Rated Cleaners",58,"Find affordable house cleaning options in Mobile, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",158,https://www.zoiriscleaningservices.com/,Terms &amp; Conditions,True,4,True,True,94995
abbeville-al/index.html,location_hub,abbeville-al,Abbeville,House Cleaning & Maid Services,B,"House Cleaning Services in Abbeville, AL - Top Rated Cleaners",61,"Find affordable house cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",161,https://www.zoiriscleaningservices.com/abbeville-al/,"Find Trusted House Cleaning Services in Abbeville, AL",True,5,True,True,147532
abbeville-al/about/index.html,location_about,abbeville-al,Abbeville,About,B,"House Cleaning Services in Abbeville, AL - Top Rated Cleaners",61,"Find affordable house cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",161,https://www.zoiriscleaningservices.com/abbeville-al/about/,"Find Trusted House Cleaning Services in Abbeville, AL",True,5,True,True,146901
abbeville-al/airbnb-cleaning/index.html,location_service,abbeville-al,Abbeville,Airbnb Cleaning,B,"Airbnb Cleaning Services in Abbeville, AL - Top Rated Cleaners",62,"Find affordable airbnb cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",162,https://www.zoiriscleaningservices.com/abbeville-al/airbnb-cleaning/,"Find Trusted Airbnb Cleaning Services in Abbeville, AL",True,5,True,True,149317
abbeville-al/airbnb-vacation-rental-management/index.html,location_service,abbeville-al,Abbeville,Airbnb Vacation Rental Management,B,"Airbnb Vacation Rental Management Services in Abbeville, AL - Top Rated Cleaners",80,"Find affordable airbnb vacation rental management options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",180,https://www.zoiriscleaningservices.com/abbeville-al/airbnb-vacation-rental-management/,"Find Trusted Airbnb Vacation Rental Management Services in Abbeville, AL",True,5,True,True,149563
abbeville-al/blog/index.html,location_blog,abbeville-al,Abbeville,Blog,B,"House Cleaning Services in Abbeville, AL - Top Rated Cleaners",61,"Find affordable house cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",161,https://www.zoiriscleaningservices.com/abbeville-al/blog/,"Find Trusted House Cleaning Services in Abbeville, AL",True,5,True,True,148129
abbeville-al/carpet-cleaning/index.html,location_service,abbeville-al,Abbeville,Carpet Cleaning,B,"Carpet Cleaning Services in Abbeville, AL - Top Rated Cleaners",62,"Find affordable carpet cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",162,https://www.zoiriscleaningservices.com/abbeville-al/carpet-cleaning/,"Find Trusted Carpet Cleaning Services in Abbeville, AL",True,5,True,True,149310
abbeville-al/church-worship-center-cleaning/index.html,location_service,abbeville-al,Abbeville,Church Worship Center Cleaning,B,"Church Worship Center Cleaning Services in Abbeville, AL - Top Rated Cleaners",77,"Find affordable church worship center cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",177,https://www.zoiriscleaningservices.com/abbeville-al/church-worship-center-cleaning/,"Find Trusted Church Worship Center Cleaning Services in Abbeville, AL",True,5,True,True,149483
abbeville-al/commercial-cleaning/index.html,location_service,abbeville-al,Abbeville,Commercial Cleaning,B,"Commercial Cleaning Services in Abbeville, AL - Top Rated Cleaners",66,"Find affordable commercial cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",166,https://www.zoiriscleaningservices.com/abbeville-al/commercial-cleaning/,"Find Trusted Commercial Cleaning Services in Abbeville, AL",True,5,True,True,149239
abbeville-al/contact/index.html,location_contact,abbeville-al,Abbeville,Contact,B,"House Cleaning Services in Abbeville, AL - Top Rated Cleaners",61,"Find affordable house cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",161,https://www.zoiriscleaningservices.com/abbeville-al/contact/,"Find Trusted House Cleaning Services in Abbeville, AL",True,5,True,True,146919
abbeville-al/deep-cleaning/index.html,location_service,abbeville-al,Abbeville,Deep Cleaning,B,"Deep Cleaning Services in Abbeville, AL - Top Rated Cleaners",60,"Find affordable deep cleaning options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",160,https://www.zoiriscleaningservices.com/abbeville-al/deep-cleaning/,"Find Trusted Deep Cleaning Services in Abbeville, AL",True,5,True,True,149264
abbeville-al/Detailing-abbeville-al/index.html,location_service,abbeville-al,Abbeville,Detailing,B,"Detailing Services in Abbeville, AL - Top Rated Cleaners",56,"Find affordable detailing options in Abbeville, AL. Search local cleaners by rates, reviews, experience, and more. Match made with Zoiris Cleaning Services.",156,https://www.zoiriscleaningservices.com/abbeville-al/Detailing-abbeville-al/,"Find Trusted Detailing Services in Abbeville, AL",True,5,True,True,149209
